Identifikácia a flow,,,,,,,W11 – údaje o zvierati,,,Interné spracovanie,,
ID,Typ situácie,Kategória,Podkategória,Druh zvieraťa,W02 – akútna vetva,Poradie framov,Univerzálne checkboxy,Druhovo špecifické checkboxy,Placeholder voľného opisu,Interný návrh orgánu,Dôvod prečo tento orgán ,Poznámka pre IT / dizajn
TYR-001,Týrané / zanedbávané,Domáce zvieratá,,Pes,"Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.

TU EŠTE DOMI DOPLNÍ MEDZI SCREEN V PRÍPADE, AK TO BUDE AKÚTNE, ABY SA TO PREPOJILO S POKRAČOVANÍM VO FLOW ","W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom

","• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Je dlhodobo držaný na reťazi alebo lane
• Nemá búdu, tieň alebo inú primeranú ochranu
• Je používaný na zápasy
• Podozrenie na nelegálny alebo množiteľský chov/predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-002,Týrané / zanedbávané,Domáce zvieratá,,Mačka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Je trvalo držaná v malej klietke alebo uzavretom priestore
• Na mieste je veľké množstvo mačiek v zlých podmienkach
• Dochádza k nekontrolovanému rozmnožovaniu
• Podozrenie na nelegálny alebo množiteľský chov/predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-003,Týrané / zanedbávané,Domáce zvieratá,,Fretka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Podozrenie na nelegálny alebo množiteľský chov/predaj
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-004,Týrané / zanedbávané,Domáce zvieratá,,Králik,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Špinavá alebo mokrá podstielka
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-005,Týrané / zanedbávané,Domáce zvieratá,,Morča,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Špinavá alebo mokrá podstielka
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-006,Týrané / zanedbávané,Domáce zvieratá,,Škrečok,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Špinavá alebo mokrá podstielka
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-007,Týrané / zanedbávané,Domáce zvieratá,,Potkan,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Špinavá alebo mokrá podstielka
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-008,Týrané / zanedbávané,Domáce zvieratá,,Činčila,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Príliš malá alebo nevhodná klietka
• Špinavá alebo mokrá podstielka
• Podozrenie na nelegálny alebo množiteľský chov/predaj
","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS,Spoločenské zviera – ochrana zvierat a podmienky chovu.,
TYR-009,Týrané / zanedbávané,Domáce zvieratá,,Papagáj,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
","• Podozrenie na odobratie z voľnej prírody
• Podozrenie na chýbajúce doklady o pôvode alebo označenie
• Podozrenie na nelegálny alebo množiteľský chov/predaj","Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Exotický vták – welfare posúdi RVPS; držbu, pôvod alebo obchod predbežne SIŽP.",
TYR-010,Týrané / zanedbávané,Domáce zvieratá,,Korytnačka,Samostatná vetva W02 pred W03. Zobrazí kontakt 158 iba pri akútnom podozrení na trestný čin týrania; copy W02 sa dopracuje osobitne. Po výsledku telefonátu používateľ pokračuje vo flow.,W01 → W03a/W03b → W04 → W06a/W06b → W11 → W24 → interné priradenie orgánu → návrh podnetu → schválenie adminom,"• Je alebo bolo fyzicky týrané – napr. bité, kopané, úmyselne zraňované alebo vystavené inému násilnému zaobchádzaniu
• Nemá dostatok vody alebo vhodnej potravy alebo je podvyživené
• Je zranené alebo choré a nedostáva potrebnú starostlivosť
• Je držané v špinavom, príliš malom, preplnenom alebo nebezpečnom priestore
• Je držané v tme, bez dostatočného vetrania alebo pri nevhodnej teplote
• Nemá primeranú ochranu pred nepriaznivým počasím
• Je opustené alebo ponechané bez potrebnej starostlivosti
",• Podozrenie na nelegálny alebo množiteľský chov/predajj,"Nestačí uviesť iba, že je zviera týrané. Opíšte konkrétne, čo sa so zvieraťom deje alebo dialo, v akých podmienkach je držané a aké následky na ňom pozorujete. Uveďte, kedy ste situáciu videli, odkedy alebo ako často sa opakuje a či ide o vaše osobné pozorovanie. Ak viete, doplňte meno vlastníka, držiteľa alebo osoby, ktorá so zvieraťom zaobchádza. Ak ide o internetový inzerát, video alebo príspevok, vložte odkaz. Oddeľte, čo ste videli osobne, od toho, čo ste sa dozvedeli od iných osôb.

Čo sa stalo, kedy a ako často sa to deje, aké podmienky alebo zranenia ste videli a ako ste sa o situácii dozvedeli…",RVPS + SIŽP,"Exotický plaz – welfare posúdi RVPS; držbu, pôvod alebo obchod predbežne SIŽP.",
